item_id,ingredient_id,quantity_required,is_optional,extra_charge
ITEM001,ING001,0.25,FALSE,0.00
ITEM001,ING007,0.25,FALSE,0.00
ITEM001,ING011,0.125,FALSE,0.00
ITEM001,ING026,0.5,FALSE,0.00
ITEM001,ING023,0.1,FALSE,0.00
ITEM001,ING024,0.125,FALSE,0.00
ITEM001,ING035,0.02,FALSE,0.00
ITEM002,ING003,1,FALSE,0.00
ITEM002,ING008,0.125,FALSE,0.00
ITEM002,ING009,0.125,FALSE,0.00
ITEM002,ING010,0.125,FALSE,0.00
ITEM002,ING017,0.125,FALSE,0.00
ITEM002,ING023,0.1,FALSE,0.00
ITEM002,ING024,0.125,FALSE,0.00
ITEM002,ING025,0.05,FALSE,0.00
ITEM002,ING037,0.03,FALSE,0.00
ITEM003,ING002,0.25,FALSE,0.00
ITEM003,ING033,0.1,FALSE,0.00
ITEM003,ING021,0.0625,FALSE,0.00
ITEM003,ING023,0.15,FALSE,0.00
ITEM003,ING024,0.125,FALSE,0.00
ITEM003,ING027,0.25,FALSE,0.00
ITEM003,ING028,0.25,FALSE,0.00
ITEM003,ING029,0.05,FALSE,0.00
ITEM004,ING002,0.25,FALSE,0.00
ITEM004,ING007,0.25,FALSE,0.00
ITEM004,ING026,0.5,FALSE,0.00
ITEM004,ING029,0.05,FALSE,0.00
ITEM004,ING023,0.1,FALSE,0.00
ITEM004,ING035,0.02,FALSE,0.00
ITEM005,ING001,0.25,FALSE,0.00
ITEM005,ING011,0.1875,FALSE,0.00
ITEM005,ING023,0.15,FALSE,0.00
ITEM005,ING024,0.15,FALSE,0.00
ITEM005,ING035,0.03,FALSE,0.00
ITEM006,ING005,1,FALSE,0.00
ITEM006,ING013,0.25,FALSE,0.00
ITEM006,ING034,0.04,FALSE,0.00
ITEM006,ING020,0.125,FALSE,0.00
ITEM006,ING023,0.1,FALSE,0.00
ITEM006,ING024,0.1,FALSE,0.00
ITEM007,ING003,1,FALSE,0.00
ITEM007,ING015,0.375,FALSE,0.00
ITEM007,ING028,0.25,FALSE,0.00
ITEM007,ING025,0.1,FALSE,0.00
ITEM007,ING019,0.125,FALSE,0.00
ITEM008,ING001,0.25,FALSE,0.00
ITEM008,ING016,0.25,FALSE,0.00
ITEM008,ING019,0.125,FALSE,0.00
ITEM008,ING023,0.1,FALSE,0.00
ITEM008,ING024,0.1,FALSE,0.00
ITEM009,ING004,0.25,FALSE,0.00
ITEM009,ING012,0.25,FALSE,0.00
ITEM009,ING032,0.1,FALSE,0.00
ITEM009,ING018,0.125,FALSE,0.00
ITEM009,ING042,0.03,FALSE,0.00
ITEM010,ING005,1,FALSE,0.00
ITEM010,ING020,0.1875,FALSE,0.00
ITEM010,ING024,0.2,FALSE,0.00
ITEM010,ING030,0.1,FALSE,0.00
ITEM011,ING003,1,FALSE,0.00
ITEM011,ING014,0.3125,FALSE,0.00
ITEM011,ING040,0.04,FALSE,0.00
ITEM012,ING006,1,FALSE,0.00
ITEM012,ING013,0.1875,FALSE,0.00
ITEM012,ING021,0.0625,FALSE,0.00
ITEM012,ING031,0.05,FALSE,0.00
ITEM012,ING027,0.25,FALSE,0.00
ITEM012,ING023,0.1,FALSE,0.00
ITEM013,ING006,1,FALSE,0.00
ITEM013,ING013,0.25,FALSE,0.00
ITEM013,ING041,0.04,FALSE,0.00
ITEM013,ING023,0.1,FALSE,0.00
ITEM014,ING006,1,FALSE,0.00
ITEM014,ING013,0.1875,FALSE,0.00
ITEM014,ING023,0.15,FALSE,0.00
ITEM014,ING022,0.0625,FALSE,0.00
ITEM014,ING038,0.03,FALSE,0.00
ITEM015,ING006,1,FALSE,0.00
ITEM015,ING043,0.25,FALSE,0.00
ITEM015,ING044,0.125,FALSE,0.00
ITEM015,ING028,0.25,FALSE,0.00
ITEM015,ING039,0.03,FALSE,0.00
ITEM016,ING023,0.2,FALSE,0.00
ITEM016,ING024,0.1,FALSE,0.00
ITEM016,ING027,0.125,FALSE,0.00
ITEM017,ING023,0.25,FALSE,0.00
ITEM017,ING022,0.05,FALSE,0.00
ITEM017,ING038,0.03,FALSE,0.00
ITEM018,ING027,0.25,FALSE,0.00
ITEM018,ING024,0.15,FALSE,0.00
ITEM018,ING031,0.05,FALSE,0.00
ITEM018,ING021,0.0625,FALSE,0.00
ITEM018,ING025,0.05,FALSE,0.00
ITEM021,ING045,1,FALSE,0.00
ITEM022,ING046,1,FALSE,0.00
ITEM023,ING047,1,FALSE,0.00
